--00	 4 41
-000	 2 21
-100	 2 21
0---	 8 81
0--0	 4 41
0--1	 4 41
0-0-	 4 41
0-00	 2 21
0-01	 2 21
0-1-	 4 41
0-10	 2 21
0-11	 2 21
00--	 4 41
00-0	 2 21
00-1	 2 21
000-	 2 21
0000	 1 11
0001	 1 11
001-	 2 21
0010	 1 11
0011	 1 11
01--	 4 41
01-0	 2 21
01-1	 2 21
010-	 2 21
0100	 1 11
0101	 1 11
011-	 2 21
0110	 1 11
0111	 1 11
1-00	 2 21
1000	 1 11
1100	 1 11
---0	 6 80.75
--0-	 6 80.75
-0-0	 3 40.75
-00-	 3 40.75
-1-0	 3 40.75
-10-	 3 40.75
-0--	 5 80.625
-1--	 5 80.625
---1	 4 80.5
--01	 2 40.5
--1-	 4 80.5
--10	 2 40.5
--11	 2 40.5
-0-1	 2 40.5
-001	 1 20.5
-01-	 2 40.5
-010	 1 20.5
-011	 1 20.5
-1-1	 2 40.5
-101	 1 20.5
-11-	 2 40.5
-110	 1 20.5
-111	 1 20.5
1--0	 2 40.5
1-0-	 2 40.5
10-0	 1 20.5
100-	 1 20.5
11-0	 1 20.5
110-	 1 20.5
1---	 2 80.25
10--	 1 40.25
11--	 1 40.25
